text,emotion
I am very happy today,happy
This project is amazing,happy
I feel very sad and tired,sad
I am angry about the meeting,angry
I feel stressed with too much work,stressed
Everything is normal today,neutral
I am excited about new tasks,happy
Work pressure is too much,stressed
I am disappointed,sad
I feel calm and relaxed,neutral
Too many deadlines are killing me,stressed
My manager appreciated my work,happy
I don't feel motivated,sad
This workload is frustrating,angry
Today is just an ordinary day,neutral
I am so sad right now,sad
This is wonderful news,happy
I feel furious about this decision,angry
I'm overwhelmed with anxiety,stressed
Everything seems fine,neutral
I love this opportunity,happy
I'm heartbroken and miserable,sad
I'm absolutely livid,angry
This deadline is exhausting me,stressed
Life is just going on normally,neutral
I'm delighted with the results,happy
I feel gloomy and down,sad
This manager makes me so mad,angry
The workload is causing me burnout,stressed
It's an ordinary Monday,neutral
Great job everyone,happy
I'm feeling melancholy and blue,sad
I'm so mad about the decision,angry
Worried about meeting the deadline,stressed
Nothing special happened,neutral
What amazing progress,happy
Disappointed and sorrowful,sad
Frustrated with the system,angry
Too much work and anxiety,stressed
Just a regular day,neutral
I'm thrilled about this,happy
Feeling quite sad lately,sad
Really annoyed with this,angry
Stressed about deliverables,stressed
Things are calm and peaceful,neutral
